content,count
这首歌我就不收藏不下载了，如果有人看到这句话的话麻烦留个赞，收到消息我就会进来听一遍，算是我自己给自己的一个惊喜吧。,3
写歌的人假正经听歌的人最无情人要是矫情起来 听什么都像在唱自己,2
11年我住在秀水街的背面，女朋友在那里上班。她会说五种不同的语言，和老外攀谈讲价钱，那年冬天我想结婚了，她的愿望是在秀水街有家自己的店。可我们还住在终日望不到天的插间里，我赞钱带她去现场听张玮玮，听白银饭店专辑里的秀水街，北京的冬天里冷极了，我们挤在公交车里取暖，她哭着说愿意等。,2
Outro 则是这张专辑的总结，是最后一首不算正式的曲目，起到总结作用。这种安排一般表示专辑的概念性比较强。,2
真的，男生矮不要自卑。我大一刚入学的时候只有168，也有人说我太矮了，后来我每天坚持锻炼、喝牛奶。果然不出一年，我就接受了这个现实。,2
毛不易真是一个哲学家，《奇遇人生》里面说了好多经典语录：1.四十岁就是新的二十岁2.内向不是性格的缺陷只是性格的一种3.人的本质不是喜欢钱，而是钱予人的自由4.不想说的话我可以不说，但是我尽量保证说出的话都是真的5.快乐是赏赐，悲伤是考验，不快乐也不悲伤，是生活的常态 ​​​,2
“你也喜欢张惠妹阿！”[色]。。“嗯嗯”。[可爱][可爱]“她的歌都超好听的，你喜欢她什么歌”[亲亲][亲亲]“ 听海，记得， 人质还有。。。。。”   “等等。得，咱俩喜欢的不是一个张惠妹”[手动再见][大哭][大哭][大哭],2
林黛玉风雪山神庙，薛宝钗火烧草料场。,2
宫崎骏有一段浪漫的语录：其实我很早就知道我们不合适。但是我还是拒绝了所有人陪你走了一段没有结果的路 虽然时间不长 但毕生难忘。留住你和放过你 我都做不到。就像我坐在湖边 以为是海边.我吹着湖边的风 以为吹着的是海风.但湖是湖 海是海.,2
期待男人回信息是倒霉的第一步,2
《东邪西毒》里有段台词：“以前我认为那句话很重要，因为我相信有些事说出来就是一生一世。现在想想，说不说也没有什么区别。有些事情是会变的，我一直以为自己赢了，直到有一天我看着镜子才知道我输了。在我最美好的时间里，我最喜欢的人不在我身边，如果能重新开始该有多好。”,2
"也许每一个男子全都有过这样的两个女人，至少两个。娶了红玫瑰，久而久之，红的变了墙上的一抹蚊子血，白的还是""床前明月光""；娶了白玫瑰，白的便是衣服上沾的一粒饭黏子，红的却是心口上一颗朱砂痣。 ——张爱玲",2
我预感：听到这首歌的人 未来一周里一定会遇到意想不到惊喜。,2
辛亏长得丑，没经历过各位的爱恨情仇。,2
不添加喜欢了  有人点赞就回来听听,2
