nickname,userid,content,likecount,time,"name"
许嵩,31265745,"“满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌""",1352790,2016-04-27 15:03:54,"雅俗共赏"
帐号已注销,90049021,白素贞受观音指点下凡寻找有缘人。白素贞：“菩萨，我要怎么才能找到他？”观音：“只需记住他忠厚善良、外表俊秀、其貌不凡、才气凌人、歌声动听，姓许即可。”数日，白素贞终于遇到一个善良的许姓公子，上前激动的问道：“公子是许仙么？”公子答：“姑娘，你认错人了，在下许嵩。”,568159,2016-04-27 10:19:26,"雅俗共赏"
你们不配和我听歌,9499119,老人拿手机去店里维修工作人员告诉他手机并没有坏老人突然哭了“那我的孩子们怎么不给我打电话”近期看过最心酸的一个段子…,563109,2016-03-25 11:57:01,"爸爸妈妈"
19万楼主在这里,127821289,十年，评论终于从嘲讽变成了回忆青春吗,513289,2016-06-13 08:48:36,"有何不可"
lmwl,35437342,一个医科大学毕业立志当厨师的程序员出了新专辑啦,442615,2016-04-27 11:12:56,"雅俗共赏"
起名字这么累-,72593844,刚好处在这个尴尬的年龄：心里会开始在关心爸妈，却不愿说出口；想多陪陪爸妈，却又无法控制自己经常去按手机玩电脑；知道爸妈想和自己说话，却不知道他们的话题要怎么接。看得到爸妈在变老心会疼，却仍不耐烦听他们过时的唠叨；但其实心里真的很爱他们，很想他们可以一直陪着我。,410042,2016-04-20 10:14:11,"爸爸妈妈"
另意,1369478069,记住 摆烂太久是会被收走天赋的,409901,2022-12-26 21:15:10,"我记得"
无名瘾,16211365,第一次听这个歌是在高中附近的ktv，她唱这首歌時眉飞色舞的姿态感覺全世界都在发光，我好想亲她！结果唱完后她深深给了男友一吻，从此之后再没聽過这首歌，直到现在=_=,386160,2015-01-05 01:52:47,"处处吻"
你说人靠什么衡量爱,321368553,“快乐的秘诀就是停止胡思乱想。” ​,357066,2019-07-08 09:24:41,"爱人错过"
几度琼霄隔山川,486338792,"正在听赵雷的那位,没错就是你,  你以后绝对会有出息 真的。",347010,2022-08-30 00:50:53,"我记得"
